pipe_shr6090,ln_pipe
0.18201325833797455,0.157003715634346
0.07890764623880386,NA
0.12429405748844148,NA
0,NA
0.03554852306842804,NA
0.2242739349603653,NA
0,NA
0,NA
NA,NA
0.4804817736148834,NA
0.09335305541753768,-0.8675006031990051
0.6930869817733765,0.982078492641449
0.7993805408477783,1.774952411651611
0.24567750096321103,NA
NA,NA
NA,NA
NA,NA
0,NA
0.4313424229621887,NA
0.3799436092376709,NA
0,NA
0.08286985754966736,NA
0.25360825657844543,NA
NA,NA
NA,NA
NA,NA
0.2432379126548767,-0.2744368612766266
0,NA
0.05819935724139213,NA
0.02532007358968258,NA
0.6584157943725586,NA
0.1171802058815956,NA
0.37018057703971863,NA
0,NA
0.08324950188398361,NA
0.1482694298028946,NA
0,NA
0.5421500205993652,NA
0,NA
0,NA
0.05557329580187797,NA
0.27655428647994995,NA
0.7009332776069641,NA
0.21994014084339145,NA
0.43297287821769714,NA
0.7760124206542969,NA
0.4983570873737335,NA
0.6968052983283997,NA
0.30139732360839844,NA
0,NA
0.11296206712722778,NA
0,NA
0,NA
0,NA
0.6066797971725464,NA
0.8224857449531555,NA
0.08711110800504684,NA
0.1570557951927185,NA
0.31317993998527527,NA
NA,NA
0.19986525177955627,NA
0.5672860145568848,NA
NA,NA
0,NA
0.32606905698776245,NA
NA,NA
0,NA
0,NA
0.10317873954772948,NA
0,NA
0.09720759093761444,NA
0.3271869719028473,NA
0,NA
0.20875422656536105,NA
0,NA
0.2794279456138611,NA
0,NA
0.518889844417572,NA
0.3159821629524231,NA
0,NA
0,NA
0,NA
0.03145292028784752,NA
0,NA
NA,NA
0.14007391035556793,NA
0.02947913110256195,NA
0,NA
0,NA
NA,NA
0.7484115362167358,NA
0,NA
NA,NA
0,NA
0.20541508495807648,NA
0,NA
0,NA
0,NA
0.6111888289451599,NA
0.07697329670190811,NA
NA,NA
0.03912647813558578,NA
NA,NA
0,NA
0,NA
0.04625121876597404,NA
0,NA
0.1544424593448639,NA
0,NA
0.5181818604469299,NA
0,NA
0,NA
NA,NA
0.7412281036376953,NA
0.11396012455224992,NA
0.56952965259552,NA
0,NA
0.4744991064071655,NA
0,NA
0,NA
NA,NA
0,NA
0.8870987892150879,NA
0,NA
0,NA
0,NA
0.3626664876937866,NA
0,NA
0,NA
0,NA
0.364705890417099,NA
0.3282172679901123,NA
0.5328230857849121,NA
0,NA
0,NA
0.05124663561582565,NA
0.25804436206817627,NA
0,NA
0,NA
NA,NA
NA,NA
0.2578580677509308,NA
0.0480877049267292,NA
0,NA
0,NA
0.07859771698713303,NA
0.28481826186180115,NA
0.6054217219352722,NA
0,NA
0,NA
0.06502015888690948,NA
NA,NA
0,NA
0.0582551583647728,NA
0,NA
NA,NA
0,NA
0.29657649993896484,NA
0,NA
0.04321728646755218,1.7698546648025513
0.08666666597127914,NA
0,NA
0.20263823866844177,NA
0.49202394485473633,NA
0.0452674888074398,NA
NA,NA
NA,NA
0,NA
0.07450509071350098,NA
0,NA
0.4497166872024536,NA
0.243803933262825,NA
0.07901513576507568,NA
0.23788991570472717,NA
0.5908969044685364,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
0.03751521185040474,NA
